i,id,query,route,n_buttons,has_card,latency_ms,html_len
1,QID,query,phase_pills,0,False,57.6,696
2,T01,Delphi Method,direct_method_card,10,True,67.6,11079
3,T02,Design Thinking,direct_method_card,10,True,189.9,14248
4,T03,Actor Constellation,direct_method_card,10,True,86.9,11059
5,T04,Emancipatory Boundary Critique,direct_method_card,10,True,173.9,12378
6,T05,Most Significant Change (MSC) Technique,direct_method_card,10,True,94.8,11991
7,T06,Functional-dynamic stakeholder involvement,direct_method_card,10,True,190.2,14989
8,T07,Give-and-take matrix,direct_method_card,10,True,113.9,12305
9,T08,Multi-Stakeholder Discussion Group,direct_method_card,10,True,44.4,9090
10,T09,Nomadic concepts,direct_method_card,10,True,127.8,14064
11,T10,Outcome spaces framework,direct_method_card,10,True,140.7,13378
12,T11,Research Marketplace,direct_method_card,10,True,89.9,10532
13,T12,Scenario Planning,direct_method_card,10,True,44.9,7473
14,T13,Soft systems methodology,direct_method_card,10,True,169.8,12462
15,T14,Storywall,direct_method_card,10,True,114.6,10768
16,T15,Toolbox dialogue approach,direct_method_card,10,True,69.0,10628
17,T16,Tell Your Story by Means of an Object,direct_method_card,10,True,67.7,7512
18,T17,Context and Actor Analysis,direct_method_card,10,True,39.5,7368
19,T18,But Why Technique,direct_method_card,10,True,36.6,7448
20,T19,COLLAB Game,direct_method_card,10,True,63.1,7249
21,T20,Evaluation H,direct_method_card,10,True,46.7,7103
22,T21,Idea Tree,direct_method_card,10,True,52.9,7456
23,T22,Joint Fact Finding,direct_method_card,10,True,58.3,7425
24,T23,NetMap,direct_method_card,10,True,31.9,7315
25,T24,Rich Picture,direct_method_card,10,True,54.9,7217
26,T25,Risk & Equity Matrix,direct_method_card,10,True,59.5,7394
27,T26,3 Circle Model for Actor Constellations,direct_method_card,10,True,41.7,7398
28,T27,Theory of change,direct_method_card,10,True,142.8,15129
29,Q01,what is Delphi Method,context_qa,0,False,5.9,1191
30,Q02,steps for Design Thinking,context_qa,0,False,17.6,4121
31,Q03,time and resources for Actor Constellation,context_qa,0,False,4.5,816
32,Q04,outputs and deliverables of Emancipatory Boundary Critique,context_qa,0,False,15.3,992
33,Q05,risks and limitations of Most Significant Change (MSC) Technique,context_qa,0,False,8.5,729
34,Q06,prerequisites for Soft systems methodology,context_qa,0,False,7.1,1165
35,Q07,when to use Scenario Planning,unknown,0,False,3.4,150
36,Q08,who participates in Toolbox dialogue approach,context_qa,0,False,2.5,713
37,Q09,keywords for Rich Picture,context_qa,0,False,23.1,464
38,Q10,which phase for Outcome spaces framework,context_qa,0,False,17.1,474
39,Q11,source for Joint Fact Finding,context_qa,0,False,23.2,526
40,L01,what methods do you recommend to frame a problem?,buttons_only,72,False,3.6,7827
41,L02,suggest methods to evaluate a prototype,phase_suggestions,16,False,20.4,1728
42,P01,problem_framing,list_suggestions_or_semantic,26,False,5.6,3131
43,P02,implementation,list_suggestions_or_semantic,23,False,8.4,2782
44,P03,evaluation,list_suggestions_or_semantic,16,False,4.9,2002
45,P04,conclusion,list_suggestions_or_semantic,7,False,8.8,1071
46,S01,how do I start a design project?,buttons_only,12,False,230.7,1761
47,S02,finish up the project: what to do at the end?,buttons_only,12,False,58.1,1479
48,FZ1,soft sytems methdology steps,context_qa,0,False,30.2,2995
49,SML01,similar to Delphi Method,similar_list,6,False,87.6,788
50,ALT01,alternatives to Delphi Method,similar_list,6,False,100.4,788
51,REL01,related to Delphi Method,similar_list,6,False,90.6,788
52,SML02,similar to Design Thinking,similar_list,6,False,210.2,768
53,ALT02,alternatives to Design Thinking,similar_list,6,False,258.0,768
54,REL02,related to Design Thinking,similar_list,6,False,237.5,768
